ability: [Die Fähigkeit, la capacidad]
absence: [Die Abwesenheit, la ausencia]
action: [Die Aktion, la acción]
activity: [Die Aktivität, la actividad]
address: [Die Adresse, la dirección]
agency: [Die Agentur, la agencia]
american: [Die Amerikaner, la americana]
amount: [Die Summe, la cantidad]
anger: [Die Wut, la ira]
answer: [Die Antwort, la respuesta]
anxiety: [Die Angst, la ansiedad]
appearance: [Die Erscheinung, la aparición]
arrangement: [Die Vereinbarung, la disposición]
arrival: [Die Ankunft, la llegada]
assignment: [Die Zuordnung, la asignación]
attention: [Die Aufmerksamkeit, la atención]
attitude: [Die Attitüde, la actitud]
aunt: [Die Tante, la tía]
authority: [Die Autorität, la autoridad]
avenue: [Die Straße, la avenida]
band: [Die Band, la banda]
battery: [Die Batterie, la batería]
bay: [Die Bucht, la bahía]
beauty: [Die Schönheit, la belleza]
bell: [Die Glocke, la campana]
bench: [Die Bank, la magistratura]
bible: [Die Bibel, la biblia]
blade: [Die Klinge, la cuchilla]
blanket: [Die Decke, la manta]
bomb: [Die Bombe, la bomba]
border: [Die Grenze, la frontera]
bottle: [Die Flasche, la botella]
box: [Die Kiste, la caja]
brand: [Die Marke, la marca]
break: [Die Pause, la ruptura]
breast: [Die Brust, la mama]
burden: [Die Last, la carga]
butter: [Die Butter, la mantequilla]
camera: [Die Kamera, la cámara]
campaign: [Die Kampagne, la campaña]
cap: [Die Kappe, la tapa]
card: [Die Karte, la tarjeta]
career: [Die Karriere, la carrera]
cell: [Die Zelle, la célula]
ceremony: [Die Zeremonie, la ceremonia]
chain: [Die Kette, la cadena de]
chamber: [Die Kammer, la cámara de]
chance: [Die Chance, la oportunidad]
chapel: [Die Kapelle, la capilla]
charge: [Die Ladung, la carga]
cheek: [Die Wange, la mejilla]
childhood: [Die Kindheit, la infancia]
choice: [Die Wahl, la elección]
church: [Die Kirche, la iglesia]
city: [Die Stadt, la ciudad]
class: [Die Klasse, la clase]
clinic: [Die Klinik, la clínica]
clothing: [Die Bekleidung, la ropa]
cloud: [Die Wolke, la nube]
coast: [Die Küste, la costa]
coin: [Die Münze, la moneda]
collection: [Die Sammlung, la colección]
colony: [Die Kolonie, la colonia]
column: [Die Kolumne, la columna]
combination: [Die Kombination, la combinación]
communication: [Die Kommunikation, la comunicación]
community: [Die Gemeinde, la comunidad]
complaint: [Die Beschwerde, la queja]
concentration: [Die Konzentration, la concentración]
concern: [Die Sorge, la preocupación]
condition: [Die Bedingung, la condición]
conference: [Die Konferenz, la conferencia]
confusion: [Die Verwirrung, la confusión]
connection: [Die Verbindung, la conexión]
consequence: [Die Konsequenz, la consecuencia]
construction: [Die Konstruktion, la construcción]
conversation: [Die Unterhaltung, la conversación]
copy: [Die Kopie, la copia]
corner: [Die Ecke, la esquina]
cottage: [Die Hütte, la casa de campo]
cover: [Die Titelseite, la tapa]
cow: [Die Kuh, la vaca]
cream: [Die Creme, la crema]
creation: [Die Kreation, la creación]
creature: [Die Kreatur, la criatura]
crew: [Die Besatzung, la tripulación]
crisis: [Die Krise, la crisis]
crowd: [Die Menge, la multitud]
crown: [Die Krone, la corona]
culture: [Die Kultur, la cultura]
cup: [Die Tasse, la copa]
curtain: [Die Gardine, la cortina]
curve: [Die Kurve, la curva]
dark: [Die Dunkelheit, la oscuridad]
daughter: [Die Tochter, la hija]
decision: [Die Entscheidung, la decisión]
delivery: [Die Lieferung, la entrega]
demand: [Die Nachfrage, la demanda]
depression: [Die Depression, la depresión]
depth: [Die Tiefe, la profundidad]
description: [Die Beschreibung, la descripción]
difficulty: [Die Schwierigkeit, la dificultad]
direction: [Die Richtung, la dirección]
disappointment: [Die Enttäuschung, la decepción]
discussion: [Die Diskussion, la discusión]
disease: [Die Krankheit, la enfermedad]
distance: [Die Distanz, la distancia]
door: [Die Tür, la puerta]
doorway: [Die Türöffnung, la puerta]
drive: [Die Fahrt, la unidad]
earth: [Die Erde, la tierra]
education: [Die Bildung, la educación]
emotion: [Die Emotion, la emoción]
energy: [Die Energie, la energía]
excitement: [Die Aufregung, la emoción]
excuse: [Die Entschuldigung, la excusa]
existence: [Die Existenz, la existencia]
explanation: [Die Erklärung, la explicación]
explosion: [Die Explosion, la explosión]
facility: [Die Einrichtung, la instalación]
factory: [Die Fabrik, la fábrica]
family: [Die Familie, la familia]
fantasy: [Die Fantasie, la fantasía]
fashion: [Die Mode, la moda]
feature: [Die Eigenschaft, la característica]
fiction: [Die Fiktion, la ficción]
figure: [Die Figur, la figura]
firm: [Die Firma, la empresa]
fishing: [Die Angel, la pesca]
flag: [Die Flagge, la bandera]
flame: [Die Flamme, la llama]
flower: [Die Blume, la flor]
folk: [Die Volks, la gente]
force: [Die Kraft, la fuerza]
form: [Die Form, la forma]
foundation: [Die Grundlage, la fundación]
freedom: [Die Freiheit, la libertad]
friendship: [Die Freundschaft, la amistad]
function: [Die Funktion, la función de]
gallery: [Die Gallerie, la galería]
gang: [Die Gruppe, la pandilla]
gap: [Die Lücke, la brecha]
gate: [Die Gate, la puerta]
generation: [Die Generation, la generación]
glory: [Die Herrlichkeit, la gloria]
guilt: [Die Schuld, la culpa]
guitar: [Die Gitarre, la guitarra]
gun: [Die Waffe, la pistola]
half: [Die Hälfte, la media]
hall: [Die Halle, la sala]
hand: [Die Hand, la mano]
health: [Die Gesundheit, la salud]
hearing: [Die Anhörung, la audiencia]
height: [Die Höhe, la altura]
help: [Die Hilfe, la ayuda]
hip: [Die Hüfte, la cadera]
history: [Die Geschichte, la historia]
hope: [Die Hoffnung, la esperanza]
hour: [Die Stunde, la hora]
idea: [Die Idee, la idea]
identity: [Die Identität, la identidad]
illness: [Die Krankheit, la enfermedad]
imagination: [Die Phantasie, la imaginación]
industry: [Die Branche, la industria]
information: [Die Information, la información]
injury: [Die Verletzung, la lesión]
instruction: [Die Anleitung, la instrucción]
intelligence: [Die Intelligenz, la inteligencia]
intention: [Die Absicht, la intención]
investigation: [Die Ermittlung, la investigación]
invitation: [Die Einladung, la invitación]
island: [Die Insel, la isla]
jacket: [Die Jacke, la chaqueta]
justice: [Die Justiz, la justicia]
kitchen: [Die Küche, la cocina]
lady: [Die Dame, la dama]
lamp: [Die Lampe, la lámpara]
layer: [Die Schicht, la capa de]
league: [Die Liga, la liga]
length: [Die Länge, la longitud]
liberty: [Die Freiheit, la libertad]
library: [Die Bibliothek, la biblioteca]
lie: [Die Lüge, la mentira]
line: [Die Linie, la línea]
list: [Die Liste, la lista]
literature: [Die Literatur, la literatura]
load: [Die Ladung, la carga]
machine: [Die Maschine, la máquina]
manner: [Die Methode, la formaSS]
mark: [Die Note, la marca]
mass: [Die Masse, la masa]
meal: [Die Mahlzeit, la comida]
midnight: [Die Mitternachts, la medianoche]
milk: [Die Milch, la leche]
mine: [Die Mine, la mina]
mission: [Die Mission, la misión]
mother: [Die Mutter, la madre]
music: [Die Musik, la música]
nation: [Die Nation, la nación]
nature: [Die Natur, la naturaleza]
navy: [Die Marine, la marina]
needle: [Die Nadel, la aguja]
night: [Die Nacht, la noche]
nose: [Die Nase, la nariz]
note: [Die Notiz, la nota]
notice: [Die Notiz, la notificación]
notion: [Die Vorstellung, la noción]
nurse: [Die Krankenschwester, la enfermera]
observation: [Die Beobachtung, la observación]
opening: [Die Eröffnung, la apertura]
opera: [Die Oper, la ópera]
operation: [Die Operation, la operación]
opinion: [Die Meinung, la opinión]
opportunity: [Die Gelegenheit, la oportunidad]
option: [Die Option, la opción]
organization: [Die Organisation, la organización]
page: [Die Seite, la página]
paint: [Die Farbe, la pintura]
palm: [Die Palme, la palma]
passion: [Die Leidenschaft, la pasión]
pause: [Die Pause, la pausa]
person: [Die Person, la persona]
personality: [Die Persönlichkeit, la personalidad]
photograph: [Die Fotografie, la fotografía]
plant: [Die Pflanze, la planta]
platform: [Die Platform, la plataforma]
plot: [Die Handlung, la trama]
poetry: [Die Poesie, la poesía]
police: [Die Polizei, la policía]
policy: [Die Richtlinie, la política]
population: [Die Bevölkerung, la población]
position: [Die Position, la posición]
possibility: [Die Möglichkeit, la posibilidad]
potato: [Die Kartoffel, la papa]
practice: [Die Übung, la práctica]
press: [Die Presse, la prensa]
princess: [Die Prinzessin, la princesa]
print: [Die Druck, la impresión]
production: [Die Produktion, la producción]
property: [Die Eigenschaft, la propiedad]
quality: [Die Qualität, la calidad]
queen: [Die Königin, la reina]
question: [Die Frage, la cuestión]
rat: [Die Ratte, la rata]
rate: [Die Rate, la tasa]
reaction: [Die Reaktion, la reacción]
reality: [Die Realität, la realidad]
reception: [Die Rezeption, la recepción]
reference: [Die Referenz, la referencia]
region: [Die Region, la región]
relation: [Die Beziehung, la relación]
relative: [Die Relative, la relación]
religion: [Die Religion, la religión]
remark: [Die Bemerkung, la observación]
reply: [Die Antwort, la respuesta]
request: [Die Anforderung, la solicitud]
research: [Die Forschung, La investigación]
response: [Die Antwort, la respuesta]
responsibility: [Die Verantwortung, la responsabilidad]
review: [Die Überprüfung, la revisión]
road: [Die Straße, la carretera]
rod: [Die Stange, la varilla]
rose: [Die Rose, la rosa]
round: [Die Runde, la ronda]
route: [Die Route, la ruta]
routine: [Die Routine, la rutina]
row: [Die Reihe, la fila]
rule: [Die Regel, la regla]
run: [Die Lauf, la carrera]
safety: [Die Sicherheit, la seguridad]
satisfaction: [Die Zufriedenheit, la satisfacción]
scale: [Die Skala, la escala]
scene: [Die Szene, la escena]
school: [Die Schule, la escuela]
science: [Die Wissenschaft, la ciencia]
score: [Die Punktzahl, la puntuación]
search: [Die Suche, la búsqueda]
season: [Die Jahreszeit, la temporada]
section: [Die Sektion, la sección]
security: [Die Sicherheit, la seguridad]
seed: [Die Saat, la semilla]
sensation: [Die Sensation, la sensación]
sequence: [Die Sequenz, la secuencia]
session: [Die Sitzung, la sesión]
shade: [Die Schattierung, la sombra]
shame: [Die Schande, la vergüenza]
shape: [Die Form, la forma]
shell: [Die Muschel, la concha]
shit: [Die Scheiße, la mierda]
shore: [Die Küste, la orilla]
shower: [Die Dusche, la ducha]
sight: [Die Sehenswürdigkeit, la vista]
silk: [Die Seide, la seda]
sister: [Die Schwester, la hermana]
situation: [Die Situation, la situación]
skin: [Die Haut, la piel]
slope: [Die Piste, la pendiente]
society: [Die Gesellschaft, la sociedad]
solution: [Die Lösung, la solución]
source: [Die Quelle, la fuente]
speed: [Die Geschwindigkeit, la velocidad]
squad: [Die Mannschaft, la escuadra]
stage: [Die Bühne, la etapa de]
statement: [Die Aussage, la declaración]
stock: [Die Aktie, la acción]
story: [Die Geschichte, la historia]
street: [Die Straße, la calle]
strength: [Die Stärke, la fuerza]
string: [Die Schnur, la cadena de]
structure: [Die Struktur, la estructura]
surface: [Die Oberfläche, la superficie]
surgery: [Die Operation, la cirugía]
surprise: [Die Überraschung, la sorpresa]
sympathy: [Die Sympathie, la simpatía]
task: [Die Aufgabe, la tarea]
technology: [Die Technologie, la tecnología]
temperature: [Die Temperatur, la temperatura]
tension: [Die Spannung, la tensión]
theory: [Die Theorie, la teoría]
threat: [Die Bedrohung, la amenaza]
tide: [Die Gezeiten, la marea]
tongue: [Die Zunge, la lengua]
top: [Die Spitze, la parte superior]
tour: [Die Reise, la gira]
town: [Die Stadt, la ciudad]
trace: [Die Spur, la traza]
track: [Die Strecke, la pista]
tradition: [Die Tradition, la tradición]
tragedy: [Die Tragödie, la tragedia]
tray: [Die Schale, la bandeja]
troop: [Die Truppe, la tropa]
truth: [Die Wahrheit, la verdad]
tune: [Die Melodie, la melodía]
turn: [Die Wende, la vuelta]
union: [Die Union, la unión]
unit: [Die Einheit, la unidad]
university: [Die Universität, la universidad]
variety: [Die Vielfalt, la variedad]
version: [Die Version, la versión]
view: [Die Aussicht, la vista]
violence: [Die Gewalt, la violencia]
vision: [Die Sicht, la visión]
voice: [Die Stimme, la voz]
wall: [Die Mauer, la pared]
warning: [Die Warnung, la advertencia]
wave: [Die Welle, la ola]
weakness: [Die Schwäche, la debilidad]
week: [Die Woche, la semana]
widow: [Die Witwe, la viuda]
wife: [Die Ehefrau, la esposa]
woman: [Die Frau, la mujer]
wool: [Die Wolle, la lana]
work: [Die Arbeit, la obra]
worry: [Die Sorge, la preocupación]
wound: [Die Wunde, la herida]
youth: [Die Jugend, la juventud]
zone: [Die Zone, la zona]
