ability: [Die Fähigkeit, la capacidad]
absence: [Die Abwesenheit, la ausencia]
accent: [Der Akzent, el acento]
access: [Die Zugriffs, el acceso]
accident: [Der Unfall, el accidente]
account: [Das Konto, la cuenta]
act: [Der Akt, el acto]
action: [Die Aktion, la acción]
activity: [Die Aktivität, la actividad]
actor: [Der Schauspieler, el actor]
address: [Die Adresse, la dirección]
adult: [Die Erwachsene, el adulto]
advance: [Der Vormarsch, el avance]
advantage: [Der Vorteil, La ventaja]
adventure: [Das Abenteuer, la aventura]
advice: [Der Ratschlag, el consejo]
affair: [Die Affäre, el asunto]
afternoon: [Der Nachmittag, la tarde]
age: [Das Alter, la edad]
agency: [Die Agentur, la agencia]
agent: [Der Agent, el agente]
agreement: [Die Vereinbarung, el acuerdo]
air: [Die Luft, el aire]
airport: [Der Flughafen, el aeropuerto]
alarm: [Den Wecker, la alarma]
alcohol: [Der Alkohol, el alcohol]
ambulance: [Der Krankenwagen, la ambulancia]
american: [Die Amerikaner, la americana]
amount: [Die Summe, la cantidad]
angel: [Der Engel, el ángel]
anger: [Die Wut, la ira]
angle: [Der Winkel, el ángulo]
animal: [Das Tier, el animal]
answer: [Die Antwort, la respuesta]
anxiety: [Die Angst, la ansiedad]
apartment: [Die Wohnung, el apartamento]
appearance: [Die Erscheinung, la aparición]
apple: [Der Apfel, la manzana]
appointment: [Der Termin, el nombramiento]
approach: [Der Ansatz, el enfoque]
area: [Das Gebiet, la zona]
argument: [Das Argument, el argumento]
arm: [Der Arm, el brazo]
army: [Die Armee, el ejército]
arrangement: [Die Vereinbarung, la disposición]
arrival: [Die Ankunft, la llegada]
art: [Die Kunst, el arte]
article: [Den Artikel, el artículo]
artist: [Der Künstler, el artista]
aspect: [Das Aspekt, el aspecto]
assignment: [Die Zuordnung, la asignación]
assistant: [Der Assistent, el asistente]
atmosphere: [Atmosphäre, la atmósfera]
attack: [Der Angriff, el ataque]
attempt: [Der Versuch, el intento]
attention: [Die Aufmerksamkeit, la atención]
attitude: [Die Attitüde, la actitud]
audience: [Das Publikum, la audiencia]
aunt: [Die Tante, la tía]
author: [Der Autor, el autor]
authority: [Die Autorität, la autoridad]
autumn: [Der Herbst, el otoño]
avenue: [Die Straße, la avenida]
baby: [Das Baby, el bebé]
back: [Der Rücken, la parte de atrás]
background: [Der Hintergrund, el fondo]
bag: [Der Beutel, la bolsa]
balance: [Die Balance, el balance]
ball: [Der Ball, la pelota]
band: [Die Band, la banda]
bank: [Die Bank, el banco]
bar: [Die Bar, el bar]
basket: [Der Korb, la cesta]
bastard: [Der Bastard, el hijo de puta]
bath: [Das Bad, el baño]
bathroom: [Das Bad, el cuarto de baño]
battery: [Die Batterie, la batería]
battle: [Der Kampf, la batalla]
bay: [Die Bucht, la bahía]
beach: [Der Strand, la playa]
beam: [Der Strahl, el haz]
bean: [Die Bohne, el frijol]
bear: [Der Bär, el oso]
beauty: [Die Schönheit, la belleza]
bed: [Das Bett, la cama]
bedroom: [Das Schlafzimmer, el dormitorio]
beer: [Das Bier, La cerveza]
beginning: [Der Anfang, el principio]
being: [Das Sein, el ser]
belief: [Der Glaube, la creencia]
bell: [Die Glocke, la campana]
belt: [Der Gürtel, el cinturón]
bench: [Die Bank, la magistratura]
benefit: [Der Vorteil, el beneficio]
bible: [Die Bibel, la biblia]
bike: [Das Fahrrad, la moto]
bill: [Die Rechnung, el proyecto de ley]
bird: [Der Vogel, el pájaro]
birth: [Die Geburt, el nacimiento]
birthday: [Der Geburtstag, el cumpleaños]
bishop: [Der Bischof, el obispo]
black: [Die Schwarze, el negro]
blade: [Die Klinge, la cuchilla]
blanket: [Die Decke, la manta]
block: [Der Block, el bloque]
blood: [Das Blut, la sangre]
blow: [Der Schlag, el golpe]
blue: [Das Blaue, el azul]
board: [Die Tafel, el tablero]
boat: [Das Boot, el barco]
body: [Der Körper, el cuerpo]
bomb: [Die Bombe, la bomba]
bond: [Die Bindung, el vínculo]
bone: [Der Knochen, el hueso]
book: [Das Buch, el libro]
boom: [Der Boom, el boom]
boot: [Das Boot, la bota]
border: [Die Grenze, la frontera]
boss: [Der Chef, el jefe]
bottle: [Die Flasche, la botella]
bottom: [Der Boden, la parte inferior]
bowl: [Die Schale, el cuenco]
box: [Die Kiste, la caja]
boy: [Der Junge, el niño]
brain: [Das Gehirn, el cerebro]
branch: [Der Ast, la rama]
brand: [Die Marke, la marca]
bread: [Das Brot, el pan]
break: [Die Pause, la ruptura]
breakfast: [Das Frühstück, el desayuno]
breast: [Die Brust, la mama]
breath: [Der Atem, la respiración]
brick: [Die Ziegel, el ladrillo]
bridge: [Die Brücke, el puente]
brother: [Der Bruder, el hermano]
brush: [Der Pinsel, el cepillo]
building: [Das Gebäude, el edificio]
burden: [Die Last, la carga]
bureau: [Das Büro, la oficina]
bus: [Der Bus, el autobús]
bush: [Der Busch, la zarza]
business: [Das Geschäft, el negocio]
butter: [Die Butter, la mantequilla]
button: [Der Knopf, el botón]
cab: [Das Taxi, la cabina]
