accent: [Der Akzent, el acento]
accident: [Der Unfall, el accidente]
act: [Der Akt, el acto]
actor: [Der Schauspieler, el actor]
advance: [Der Vormarsch, el avance]
advice: [Der Ratschlag, el consejo]
agent: [Der Agent, el agente]
airport: [Der Flughafen, el aeropuerto]
alcohol: [Der Alkohol, el alcohol]
angel: [Der Engel, el ángel]
angle: [Der Winkel, el ángulo]
appointment: [Der Termin, el nombramiento]
approach: [Der Ansatz, el enfoque]
arm: [Der Arm, el brazo]
artist: [Der Künstler, el artista]
assistant: [Der Assistent, el asistente]
attack: [Der Angriff, el ataque]
attempt: [Der Versuch, el intento]
author: [Der Autor, el autor]
autumn: [Der Herbst, el otoño]
background: [Der Hintergrund, el fondo]
bastard: [Der Bastard, el hijo de puta]
beam: [Der Strahl, el haz]
bear: [Der Bär, el oso]
beginning: [Der Anfang, el principio]
belt: [Der Gürtel, el cinturón]
benefit: [Der Vorteil, el beneficio]
bird: [Der Vogel, el pájaro]
birthday: [Der Geburtstag, el cumpleaños]
bishop: [Der Bischof, el obispo]
block: [Der Block, el bloque]
blow: [Der Schlag, el golpe]
body: [Der Körper, el cuerpo]
bone: [Der Knochen, el hueso]
boom: [Der Boom, el boom]
boss: [Der Chef, el jefe]
boy: [Der Junge, el niño]
brother: [Der Bruder, el hermano]
brush: [Der Pinsel, el cepillo]
bus: [Der Bus, el autobús]
button: [Der Knopf, el botón]
cancer: [Der Krebs, el cáncer]
captain: [Der Kapitän, el capitán]
carriage: [Der Wagen, el carro]
case: [Der Fall, el caso]
champagne: [Der Champagner, el champagne]
change: [Der Wechsel, el cambio]
channel: [Der Kanal, el canal]
character: [Der Charakter, el carácter]
cheese: [Der Käse, el queso]
chief: [Der Chef, el jefe]
chip: [Der Chip, el chip]
circle: [Der Kreis, el círculo]
citizen: [Der Bürger, el ciudadano]
clerk: [Der Angestellte, el secretario]
client: [Der Klient, el cliente]
club: [Der Club, el club]
coach: [Der Trainer, el entrenador]
code: [Der Code, el código]
coffee: [Der Kaffee, el café]
colleague: [Der Kollege, el colega]
colonel: [Der Oberst, el coronel]
command: [Der Befehl, el comando]
commander: [Der Kommandant, el comandante]
comment: [Der Kommentar, el comentario]
companion: [Der Begleiter, el compañero]
computer: [Der Computer, el ordenador]
contact: [Der Kontakt, el contacto]
content: [Der Inhalt, el contenido]
contract: [Der Vertrag, el contrato]
core: [Der Kern, el núcleo]
corridor: [Der Korridor, el corredor]
council: [Der Rat, el ayuntamiento]
counter: [Der Zähler, el contador]
course: [Der Kurs, el curso]
cousin: [Der Cousin, el primo]
crash: [Der Absturz, el accidente]
credit: [Der Kredit, el crédito]
crystal: [Der Kristall, el cristal]
cut: [Der Schnitt, el corte]
dad: [Der Vater, el papá]
daddy: [Der Papa, el papá]
damage: [Der Schaden, el daño]
darling: [Der Liebling, el niño mimado]
day: [Der Tag, el día]
deal: [Der Deal, el acuerdo]
dealer: [Der Händler, el distribuidor]
degree: [Der Grad, el grado]
deputy: [Der Stellvertretende, el diputado]
desk: [Der Schreibtisch, el escritorio]
detective: [Der Detektiv, el detective]
devil: [Der Teufel, el diablo]
diamond: [Der Diamant, el diamante]
director: [Der Direktor, el director]
discovery: [Der Fund, el descubrimiento]
doctor: [Der Doktor, el médico]
dog: [Der Hund, el perro]
draft: [Der Entwurf, el proyecto]
dream: [Der Traum, el sueño]
driver: [Der Fahrer, el controlador]
duke: [Der Herzog, el duque]
dust: [Der Staub, el polvo]
eagle: [Der Adler, el águila]
earl: [Der Graf, el conde]
effect: [Der Effekt, el efecto]
effort: [Der Aufwand, el esfuerzo]
emperor: [Der Kaiser, el emperador]
employee: [Der Arbeitnehmer, el empleado]
enemy: [Der Feind, el enemigo]
engine: [Der Motor, el motor]
engineer: [Der Ingenieur, el ingeniero]
error: [Der Fehler, el error]
exchange: [Der Austausch, el intercambio]
expense: [Der Aufwand, el gasto]
expert: [Der Experte, el experto]
fan: [Der Fan, el ventilador]
farmer: [Der Bauer, el agricultor]
father: [Der Vater, el padre]
fault: [Der Fehler, el fallo]
fellow: [Der Kerl, el becario]
finger: [Der Finger, el dedo]
fish: [Der Fisch, el pescado]
flight: [Der Flug, el vuelo]
floor: [Der Boden, el piso]
focus: [Der Fokus, el foco]
fool: [Der Dummkopf, el tonto]
foot: [Der Fuß, el pie]
football: [Der Fußball, el fútbol]
forest: [Der Wald, el bosque]
friend: [Der Freund, el amigo]
garden: [Der Garten, el jardín]
gentleman: [Der Gentleman, el caballero]
german: [Der Deutsche, el alemán]
god: [Der Gott, el dios]
golf: [Der Golf, el golf]
governor: [Der Gouverneur, el gobernador]
ground: [Der Boden, el terreno]
guest: [Der Gast, el invitado]
guy: [Der Kerl, el chico]
harm: [Der Schaden, el daño]
hat: [Der Hut, el sombrero]
heaven: [Der Himmel, el cielo]
hero: [Der Held, el héroe]
horizon: [Der Horizont, el horizonte]
horror: [Der Horror, el horror]
